code;mag;alert;place;sig;tsunami;title;Año;Mes;Dia;Hora;Minuto;Segundos;sismoCH;grado_sismo
p000hscu;5.0;;Bonin Islands, Japan region;385;0;M 5.0 - Bonin Islands, Japan region;2010;12;31;21;2;31;0;0
p000hsc9;5.5;;central Mid-Atlantic Ridge;465;0;M 5.5 - central Mid-Atlantic Ridge;2010;12;31;13;30;54;0;0
p000hsbp;5.1;;Vanuatu region;400;0;M 5.1 - Vanuatu region;2010;12;31;1;11;3;0;0
p000hsb7;5.0;;Kermadec Islands region;385;0;M 5.0 - Kermadec Islands region;2010;12;30;20;47;3;0;0
p000hsb2;5.0;;Vanuatu;385;0;M 5.0 - Vanuatu;2010;12;30;18;22;30;0;0
p000hsax;5.0;;Kuril Islands;385;0;M 5.0 - Kuril Islands;2010;12;30;16;56;36;0;0
010gqb24bq;5.0;;Alaska Peninsula;385;0;M 5.0 - Alaska Peninsula;2010;12;30;16;21;26;0;0
p000hsah;5.0;;Mindanao, Philippines;385;0;M 5.0 - Mindanao, Philippines;2010;12;30;13;56;14;0;0
p000hsaa;5.6;;Santa Cruz Islands;482;0;M 5.6 - Santa Cruz Islands;2010;12;30;11;36;54;0;0
p000hsa4;5.5;;Rat Islands, Aleutian Islands, Alaska;465;0;M 5.5 - Rat Islands, Aleutian Islands, Alaska;2010;12;30;9;2;41;0;0
p000hs9x;5.0;;Vanuatu region;385;0;M 5.0 - Vanuatu region;2010;12;30;6;11;50;0;0
p000hs9w;5.0;;Poland;385;0;M 5.0 - Poland;2010;12;30;5;56;44;0;0
p000hs9t;5.2;;Santa Cruz Islands region;416;0;M 5.2 - Santa Cruz Islands region;2010;12;30;4;35;26;0;0
p000hs9q;5.3;;Near Islands, Aleutian Islands, Alaska;432;0;M 5.3 - Near Islands, Aleutian Islands, Alaska;2010;12;30;3;56;33;0;0
p000hs9n;5.2;;South Sandwich Islands region;416;0;M 5.2 - South Sandwich Islands region;2010;12;30;3;49;58;0;0
p000hs9e;5.0;;south of the Fiji Islands;385;0;M 5.0 - south of the Fiji Islands;2010;12;29;20;27;2;0;0
p000hs93;5.1;;western Xizang;400;0;M 5.1 - western Xizang;2010;12;29;15;30;59;0;0
p000hs8d;5.0;;Vanuatu;385;0;M 5.0 - Vanuatu;2010;12;29;6;46;19;0;0
p000hs84;5.2;;Vanuatu;416;0;M 5.2 - Vanuatu;2010;12;29;4;9;24;0;0
p000hs83;5.5;;Vanuatu;465;0;M 5.5 - Vanuatu;2010;12;29;4;2;17;0;0
p000hs82;6.4;;Vanuatu;630;0;M 6.4 - Vanuatu;2010;12;29;3;54;19;0;1
p000hs79;5.0;;Vanuatu;385;0;M 5.0 - Vanuatu;2010;12;28;19;2;18;0;0
p000hs78;5.2;;Vanuatu;416;0;M 5.2 - Vanuatu;2010;12;28;18;43;50;0;0
p000hs77;5.4;;northern East Pacific Rise;449;0;M 5.4 - northern East Pacific Rise;2010;12;28;18;41;48;0;0
p000hs6y;5.1;;Tonga;400;0;M 5.1 - Tonga;2010;12;28;13;59;11;0;0
p000hs6w;5.2;;South Sandwich Islands region;416;0;M 5.2 - South Sandwich Islands region;2010;12;28;12;2;42;0;0
p000hs6s;5.0;;Tonga region;385;0;M 5.0 - Tonga region;2010;12;28;9;38;49;0;0
p000hs6q;5.2;;Vanuatu;416;0;M 5.2 - Vanuatu;2010;12;28;9;9;53;0;0
p000hs6h;6.3;;south of the Fiji Islands;611;0;M 6.3 - south of the Fiji Islands;2010;12;28;5;34;17;0;1
p000hs6b;5.0;;Vanuatu;385;0;M 5.0 - Vanuatu;2010;12;28;3;54;46;0;0
p000hs5y;5.0;;south of Africa;385;0;M 5.0 - south of Africa;2010;12;27;23;47;11;0;0
p000hs5v;5.2;;Vanuatu;416;0;M 5.2 - Vanuatu;2010;12;27;23;20;29;0;0
p000hs5k;5.1;;Bonin Islands, Japan region;400;0;M 5.1 - Bonin Islands, Japan region;2010;12;27;21;26;38;0;0
p000hs5a;5.1;;Loyalty Islands, New Caledonia;400;0;M 5.1 - Loyalty Islands, New Caledonia;2010;12;27;18;36;41;0;0
p000hs53;5.2;;Vanuatu;416;0;M 5.2 - Vanuatu;2010;12;27;17;33;15;0;0
p000hs50;5.5;;Vanuatu region;465;0;M 5.5 - Vanuatu region;2010;12;27;16;40;12;0;0
p000hs4q;5.6;;western Indian-Antarctic Ridge;482;0;M 5.6 - western Indian-Antarctic Ridge;2010;12;27;14;2;32;0;0
p000hs4m;5.1;;Vanuatu region;400;0;M 5.1 - Vanuatu region;2010;12;27;13;43;48;0;0
p000hs4h;5.3;;western Indian-Antarctic Ridge;432;0;M 5.3 - western Indian-Antarctic Ridge;2010;12;27;12;27;26;0;0
p000hs42;5.0;;Andreanof Islands, Aleutian Islands, Alaska;385;0;M 5.0 - Andreanof Islands, Aleutian Islands, Alaska;2010;12;27;8;36;26;0;0
p000hs3w;5.0;;Vanuatu;385;0;M 5.0 - Vanuatu;2010;12;27;6;0;20;0;0
p000hs3q;5.0;;Andreanof Islands, Aleutian Islands, Alaska;385;0;M 5.0 - Andreanof Islands, Aleutian Islands, Alaska;2010;12;27;4;47;0;0;0
p000hs3g;5.3;;south of the Fiji Islands;432;0;M 5.3 - south of the Fiji Islands;2010;12;27;3;41;48;0;0
p000hs3e;5.2;;Vanuatu region;416;0;M 5.2 - Vanuatu region;2010;12;27;2;44;10;0;0
p000hs36;5.0;;Andreanof Islands, Aleutian Islands, Alaska;385;0;M 5.0 - Andreanof Islands, Aleutian Islands, Alaska;2010;12;27;0;38;23;0;0
p000hs33;5.0;;Vanuatu region;385;0;M 5.0 - Vanuatu region;2010;12;26;22;51;25;0;0
p000hs32;5.0;;Trinidad region, Trinidad and Tobago;385;0;M 5.0 - Trinidad region, Trinidad and Tobago;2010;12;26;22;0;14;0;0
p000hs30;5.0;;north of Ascension Island;385;0;M 5.0 - north of Ascension Island;2010;12;26;21;48;36;0;0
p000hs2w;5.0;;Vanuatu region;385;0;M 5.0 - Vanuatu region;2010;12;26;20;32;11;0;0
p000hs2h;5.5;;Vanuatu;465;0;M 5.5 - Vanuatu;2010;12;26;16;38;21;0;0
p000hs1r;5.0;;Vanuatu;385;0;M 5.0 - Vanuatu;2010;12;26;10;34;4;0;0
p000hs1j;5.3;;Andreanof Islands, Aleutian Islands, Alaska;432;0;M 5.3 - Andreanof Islands, Aleutian Islands, Alaska;2010;12;26;9;24;15;0;0
p000hs1a;5.3;;Vanuatu;432;0;M 5.3 - Vanuatu;2010;12;26;7;33;12;0;0
p000hs18;5.2;;Vanuatu;416;0;M 5.2 - Vanuatu;2010;12;26;7;0;0;0;0
p000hs15;5.3;;Bonin Islands, Japan region;432;0;M 5.3 - Bonin Islands, Japan region;2010;12;26;6;10;59;0;0
p000hs0y;5.0;;Bonin Islands, Japan region;385;0;M 5.0 - Bonin Islands, Japan region;2010;12;26;4;44;3;0;0
p000hs0q;5.2;;Andreanof Islands, Aleutian Islands, Alaska;416;0;M 5.2 - Andreanof Islands, Aleutian Islands, Alaska;2010;12;26;3;32;34;0;0
p000hs0m;5.4;;Vanuatu;449;0;M 5.4 - Vanuatu;2010;12;26;3;17;57;0;0
p000hrzt;6.0;;Vanuatu;554;0;M 6.0 - Vanuatu;2010;12;25;23;13;37;0;0
p000hrze;5.3;;Vanuatu;432;0;M 5.3 - Vanuatu;2010;12;25;22;0;21;0;0
p000hrzb;5.1;;Vanuatu;400;0;M 5.1 - Vanuatu;2010;12;25;21;12;37;0;0
p000hrza;5.0;;Loyalty Islands, New Caledonia;385;0;M 5.0 - Loyalty Islands, New Caledonia;2010;12;25;21;12;34;0;0
p000hrz9;5.0;;Bonin Islands, Japan region;385;0;M 5.0 - Bonin Islands, Japan region;2010;12;25;21;0;53;0;0
p000hrz2;5.1;;Vanuatu;400;0;M 5.1 - Vanuatu;2010;12;25;20;20;22;0;0
p000hryu;5.0;;Vanuatu region;385;0;M 5.0 - Vanuatu region;2010;12;25;19;41;31;0;0
p000hryq;5.2;;Vanuatu;416;0;M 5.2 - Vanuatu;2010;12;25;19;26;2;0;0
