code;mag;alert;place;sig;tsunami;title;Año;Mes;Dia;Hora;Minuto;Segundos;sismoCH;grado_sismo
2000izi5;5.0;;Northern Mid-Atlantic Ridge;385;0;M 5.0 - Northern Mid-Atlantic Ridge;2018;12;31;17;45;30;0;0
2000izi1;5.0;;161km NW of Neiafu, Tonga;385;0;M 5.0 - 161km NW of Neiafu, Tonga;2018;12;31;17;22;21;0;0
2000izfu;5.1;;38km E of Namie, Japan;401;0;M 5.1 - 38km E of Namie, Japan;2018;12;31;11;10;25;0;0
2000izex;5.3;;51km SSE of Calingasta, Argentina;456;0;M 5.3 - 51km SSE of Calingasta, Argentina;2018;12;31;7;49;41;0;0
2000izcv;6.0;green;114km SE of Cold Bay, Alaska;562;1;M 6.0 - 114km SE of Cold Bay, Alaska;2018;12;30;23;35;37;0;0
2000izc4;5.1;;Carlsberg Ridge;400;0;M 5.1 - Carlsberg Ridge;2018;12;30;21;29;32;0;0
2000izc2;5.2;;Carlsberg Ridge;416;0;M 5.2 - Carlsberg Ridge;2018;12;30;21;28;44;0;0
2000iz9s;5.1;;133km E of Bitung, Indonesia;400;0;M 5.1 - 133km E of Bitung, Indonesia;2018;12;30;15;34;57;0;0
2000iz50;5.7;green;89km NW of Lubuklinggau, Indonesia;500;1;M 5.7 - 89km NW of Lubuklinggau, Indonesia;2018;12;30;5;39;12;0;0
2000iz43;5.0;;Carlsberg Ridge;385;0;M 5.0 - Carlsberg Ridge;2018;12;30;3;0;8;0;0
2000iyzj;5.2;green;58km E of Shizunai, Japan;426;0;M 5.2 - 58km E of Shizunai, Japan;2018;12;29;16;8;30;0;0
2000iyy3;5.1;;158km SSW of Kokopo, Papua New Guinea;400;1;M 5.1 - 158km SSW of Kokopo, Papua New Guinea;2018;12;29;12;34;37;0;0
2000iyvy;5.3;;104km SE of Pondaguitan, Philippines;433;0;M 5.3 - 104km SE of Pondaguitan, Philippines;2018;12;29;6;13;1;0;0
2000iyvg;5.2;;176km WSW of Sibolga, Indonesia;416;1;M 5.2 - 176km WSW of Sibolga, Indonesia;2018;12;29;5;15;26;0;0
2000j51w;5.3;;94km ESE of Pondaguitan, Philippines;432;0;M 5.3 - 94km ESE of Pondaguitan, Philippines;2018;12;29;0;45;46;0;0
2000iyta;7.0;green;96km ESE of Pondaguitan, Philippines;819;1;M 7.0 - 96km ESE of Pondaguitan, Philippines;2018;12;29;0;39;9;0;1
2000iym6;5.1;green;121km SSE of Kuril'sk, Russia;400;0;M 5.1 - 121km SSE of Kuril'sk, Russia;2018;12;28;10;3;34;0;0
2000iyhj;5.8;green;64km S of Manokwari, Indonesia;518;1;M 5.8 - 64km S of Manokwari, Indonesia;2018;12;28;0;3;33;0;0
2000iy4d;5.1;;141km E of Visokoi Island, South Georgia and the South Sandwich Islands;400;0;M 5.1 - 141km E of Visokoi Island, South Georgia and the South Sandwich Islands;2018;12;27;13;24;45;0;0
2000iy2r;5.1;;150km E of Visokoi Island, South Georgia and the South Sandwich Islands;400;0;M 5.1 - 150km E of Visokoi Island, South Georgia and the South Sandwich Islands;2018;12;27;9;26;21;0;0
