code;mag;alert;place;sig;tsunami;title;Año;Mes;Dia;Hora;Minuto;Segundos;sismoCH;grado_sismo
c000tuv5;5.1;;183km WSW of Port Hardy, Canada;400;1;M 5.1 - 183km WSW of Port Hardy, Canada;2015;3;4;5;35;7;0;0
c000tun1;5.2;;105km E of Iquique, Chile;416;0;M 5.2 - 105km E of Iquique, Chile;2015;3;3;9;45;19;1;0
c000tumx;6.1;green;48km NW of Sikabaluan, Indonesia;574;1;M 6.1 - 48km NW of Sikabaluan, Indonesia;2015;3;3;7;37;30;0;1
c000tugb;5.0;;21km ENE of General Luna, Philippines;385;0;M 5.0 - 21km ENE of General Luna, Philippines;2015;3;2;18;51;58;0;0
c000tucw;5.2;;83km NNW of Vallenar, Chile;418;0;M 5.2 - 83km NNW of Vallenar, Chile;2015;3;2;13;53;46;1;0
c000tuc2;5.1;;136km SW of Manokwari, Indonesia;400;1;M 5.1 - 136km SW of Manokwari, Indonesia;2015;3;2;10;29;12;0;0
c000tuyv;5.5;green;Pacific-Antarctic Ridge;465;0;M 5.5 - Pacific-Antarctic Ridge;2015;3;1;23;50;47;0;0
c000tuaf;5.0;;77km SE of Molibagu, Indonesia;385;0;M 5.0 - 77km SE of Molibagu, Indonesia;2015;3;1;22;40;52;0;0
c000tu6s;5.0;;4km WSW of Punta de Bombon, Peru;387;0;M 5.0 - 4km WSW of Punta de Bombon, Peru;2015;3;1;12;8;28;0;0
c000tu67;5.2;;25km SSE of Nansan, China;416;0;M 5.2 - 25km SSE of Nansan, China;2015;3;1;7;24;41;0;0
c000tu5z;5.5;green;57km SSW of Puerto San Jose, Guatemala;467;0;M 5.5 - 57km SSW of Puerto San Jose, Guatemala;2015;3;1;5;30;3;0;0
c000tu5k;5.3;;82km SSE of Sarangani, Philippines;432;1;M 5.3 - 82km SSE of Sarangani, Philippines;2015;3;1;4;1;56;0;0
c000tu4z;5.6;green;67km SE of Molibagu, Indonesia;483;1;M 5.6 - 67km SE of Molibagu, Indonesia;2015;3;1;0;32;33;0;0
c000tu15;5.4;;39km N of Visokoi Island, South Georgia and the South Sandwich Islands;449;0;M 5.4 - 39km N of Visokoi Island, South Georgia and the South Sandwich Islands;2015;2;28;16;27;30;0;0
c000ttz2;5.1;;23km S of Karumbu, Indonesia;400;1;M 5.1 - 23km S of Karumbu, Indonesia;2015;2;28;7;53;3;0;0
c000ttwj;5.0;;74km NNE of Anatahan, Northern Mariana Islands;385;0;M 5.0 - 74km NNE of Anatahan, Northern Mariana Islands;2015;2;27;22;2;51;0;0
c000ttp5;5.0;;72km NNE of Anatahan, Northern Mariana Islands;385;0;M 5.0 - 72km NNE of Anatahan, Northern Mariana Islands;2015;2;27;13;45;20;0;0
c000ttnw;5.7;green;62km NNE of Anatahan, Northern Mariana Islands;500;0;M 5.7 - 62km NNE of Anatahan, Northern Mariana Islands;2015;2;27;13;24;50;0;0
c000ttkd;7.0;green;130km N of Nebe, Indonesia;760;0;M 7.0 - 130km N of Nebe, Indonesia;2015;2;27;10;45;5;0;1
c000ttjq;5.3;;83km SSW of Panguna, Papua New Guinea;432;0;M 5.3 - 83km SSW of Panguna, Papua New Guinea;2015;2;27;8;35;14;0;0
c000tthz;5.3;;West Chile Rise;432;0;M 5.3 - West Chile Rise;2015;2;26;21;47;38;1;0
c000tthp;5.1;;111km S of Taron, Papua New Guinea;400;1;M 5.1 - 111km S of Taron, Papua New Guinea;2015;2;26;20;44;53;0;0
c000ttgc;5.4;green;22km E of Batgram, Pakistan;468;0;M 5.4 - 22km E of Batgram, Pakistan;2015;2;26;18;59;5;0;0
c000ttcc;5.4;;202km SSE of Adak, Alaska;449;1;M 5.4 - 202km SSE of Adak, Alaska;2015;2;26;6;45;39;0;0
c000ttbc;5.4;;63km ESE of Pangai, Tonga;449;0;M 5.4 - 63km ESE of Pangai, Tonga;2015;2;26;3;26;52;0;0
c000ttaf;5.0;;65km E of Ishinomaki, Japan;387;0;M 5.0 - 65km E of Ishinomaki, Japan;2015;2;25;22;11;23;0;0
c000tt6i;5.1;;135km ENE of Tairua, New Zealand;400;0;M 5.1 - 135km ENE of Tairua, New Zealand;2015;2;25;16;33;8;0;0
c000tt3i;5.0;;Southern Mid-Atlantic Ridge;385;0;M 5.0 - Southern Mid-Atlantic Ridge;2015;2;25;10;48;31;0;0
c000tt0x;5.9;green;293km SE of Hachijo-jima, Japan;536;0;M 5.9 - 293km SE of Hachijo-jima, Japan;2015;2;25;4;1;0;0;0
c000tszv;5.3;;136km ENE of Bitung, Indonesia;432;0;M 5.3 - 136km ENE of Bitung, Indonesia;2015;2;25;0;2;39;0;0
c000tszg;5.7;green;81km WSW of Pandan Niog, Philippines;500;0;M 5.7 - 81km WSW of Pandan Niog, Philippines;2015;2;24;22;31;41;0;0
c000tsyj;5.1;;142km ENE of Luau, Angola;400;0;M 5.1 - 142km ENE of Luau, Angola;2015;2;24;20;43;18;0;0
c000tsm5;5.4;;Central Mid-Atlantic Ridge;449;0;M 5.4 - Central Mid-Atlantic Ridge;2015;2;24;3;54;48;0;0
c000tsli;5.3;;99km W of Abra Pampa, Argentina;433;0;M 5.3 - 99km W of Abra Pampa, Argentina;2015;2;24;2;13;50;0;0
c000tski;5.8;green;106km E of Miyako, Japan;518;0;M 5.8 - 106km E of Miyako, Japan;2015;2;23;23;28;54;0;0
c000tsfu;5.2;;138km ENE of Tairua, New Zealand;416;0;M 5.2 - 138km ENE of Tairua, New Zealand;2015;2;23;7;25;6;0;0
c000tsbm;5.1;;114km E of Miyako, Japan;400;0;M 5.1 - 114km E of Miyako, Japan;2015;2;22;16;43;32;0;0
c000tsak;6.2;green;218km SW of Tomatlan, Mexico;595;1;M 6.2 - 218km SW of Tomatlan, Mexico;2015;2;22;11;23;12;0;1
c000tsa8;5.1;;296km N of Ndoi Island, Fiji;400;0;M 5.1 - 296km N of Ndoi Island, Fiji;2015;2;22;10;2;16;0;0
c000tsa5;5.5;green;7km SSW of Caldono, Colombia;474;0;M 5.5 - 7km SSW of Caldono, Colombia;2015;2;22;9;56;24;0;0
c000tsa0;5.1;;South Atlantic Ocean;400;0;M 5.1 - South Atlantic Ocean;2015;2;22;8;48;24;0;0
c000ts8t;5.1;;41km WSW of Shihezi, China;401;0;M 5.1 - 41km WSW of Shihezi, China;2015;2;22;3;42;54;0;0
c000ts8n;5.2;green;94km NNW of Dobo, Indonesia;416;1;M 5.2 - 94km NNW of Dobo, Indonesia;2015;2;22;3;10;33;0;0
c000ts7u;5.0;;150km ENE of Miyako, Japan;385;0;M 5.0 - 150km ENE of Miyako, Japan;2015;2;21;23;53;42;0;0
c000ts6w;5.1;;8km SW of Argelia, Colombia;417;0;M 5.1 - 8km SW of Argelia, Colombia;2015;2;21;19;26;45;0;0
c000ts63;5.1;;130km SSW of Dadali, Solomon Islands;400;0;M 5.1 - 130km SSW of Dadali, Solomon Islands;2015;2;21;16;51;0;0;0
c000ts60;5.3;;141km N of Lae, Papua New Guinea;432;1;M 5.3 - 141km N of Lae, Papua New Guinea;2015;2;21;16;42;22;0;0
c000ts4c;5.3;;Southern Mid-Atlantic Ridge;432;0;M 5.3 - Southern Mid-Atlantic Ridge;2015;2;21;8;34;6;0;0
c000ts49;6.0;green;133km E of Miyako, Japan;555;0;M 6.0 - 133km E of Miyako, Japan;2015;2;21;7;13;53;0;0
c000tryp;5.3;;49km SSE of Shizunai, Japan;432;0;M 5.3 - 49km SSE of Shizunai, Japan;2015;2;20;16;28;27;0;0
c000trx4;5.4;;67km NE of L'Esperance Rock, New Zealand;449;0;M 5.4 - 67km NE of L'Esperance Rock, New Zealand;2015;2;20;12;39;17;0;0
c000trt2;5.2;;Southern Mid-Atlantic Ridge;416;0;M 5.2 - Southern Mid-Atlantic Ridge;2015;2;20;6;8;15;0;0
c000trsc;6.2;green;141km E of Miyako, Japan;592;0;M 6.2 - 141km E of Miyako, Japan;2015;2;20;1;25;23;0;1
c000trl8;5.1;;78km ESE of Lakatoro, Vanuatu;400;0;M 5.1 - 78km ESE of Lakatoro, Vanuatu;2015;2;19;16;56;35;0;0
c000tri6;5.4;green;35km SE of Petropavlovsk-Kamchatskiy, Russia;451;0;M 5.4 - 35km SE of Petropavlovsk-Kamchatskiy, Russia;2015;2;19;13;32;47;0;0
c000trgm;5.4;green;84km ESE of Lakatoro, Vanuatu;449;0;M 5.4 - 84km ESE of Lakatoro, Vanuatu;2015;2;19;11;32;41;0;0
c000trg9;5.1;;182km E of Lambasa, Fiji;400;0;M 5.1 - 182km E of Lambasa, Fiji;2015;2;19;11;8;49;0;0
c000tsrf;5.2;;82km ESE of Lakatoro, Vanuatu;416;0;M 5.2 - 82km ESE of Lakatoro, Vanuatu;2015;2;19;10;23;17;0;0
c000trf9;6.4;green;85km ESE of Lakatoro, Vanuatu;630;0;M 6.4 - 85km ESE of Lakatoro, Vanuatu;2015;2;19;10;18;32;0;1
10000dg7;5.5;green;118km NNE of Macquarie Island, Australia;465;0;M 5.5 - 118km NNE of Macquarie Island, Australia;2015;2;19;7;24;3;0;0
c000trcf;5.2;;84km E of Visokoi Island, South Georgia and the South Sandwich Islands;416;0;M 5.2 - 84km E of Visokoi Island, South Georgia and the South Sandwich Islands;2015;2;18;19;47;5;0;0
b000tqd1;5.4;;192km W of Lata, Solomon Islands;449;0;M 5.4 - 192km W of Lata, Solomon Islands;2015;2;18;14;9;41;0;0
b000tqcy;5.1;;185km W of Lata, Solomon Islands;400;0;M 5.1 - 185km W of Lata, Solomon Islands;2015;2;18;13;27;23;0;0
